Notebook Path,Notebook Name,Character Count
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses,Count.ipynb,4293
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses,_Inhaltsverzeichnis_Data_Analyses_.ipynb,4990
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses,_Syllabus_PCED_.ipynb,23545
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\.ipynb_checkpoints,Count-checkpoint.ipynb,4240
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\.ipynb_checkpoints,_Inhaltsverzeichnis_Data_Analyses_-checkpoint.ipynb,4990
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\.ipynb_checkpoints,_Syllabus_PCED_-checkpoint.ipynb,23501
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,ausreisser_erkennen.ipynb,22315
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,Datenfehler_und_Inkonsistenzen_erkennen.ipynb,10410
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,Daten_strukturiert.ipynb,28290
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,Daten_unstrukturiert.ipynb,38998
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,double.ipynb,19
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,einfluss_des_datentyps.ipynb,11324
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,fehlende_daten_techniken.ipynb,2490
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Data_Cleaning,Fehlerarten.ipynb,10082
